file,assets,liabilities,revenue,profit
Creditas_2024_Q2.pdf,,,429719,
Livi_Bank_2019_Annual.pdf,,,,
Shawbrook_Bank_2011_Annual.pdf,,,,
LINE_Pay_2024_Q2.pdf,,,,
Azlo_2013_Q1.pdf,1,,64,1004
Card_by_Coinbase_2024_Q3.pdf,,281830486,,
Klar_2020_Q3.pdf,,,,
digibank_（DBS_Bank）_2020_Q1、Q2、Q3.pdf,90781028,81429070,,
Tenpo_2021_Q3.pdf,,,,
Klar_2016_Q2.pdf,,,,
Ollo_2003_Annual.pdf,,,,
Magnetis_Investimentos_2018_Annual.pdf,,,,
Magnetis_Investimentos_2016_Q1.pdf,,,,
Digio_2020_Q3、Q4.pdf,,,,
Wise_2021_22_Q1_Q2.pdf,5652,5313,256,
Ollo_1997_Annual.pdf,,,,
kubo.financiero_2023_Annual.pdf,,,,
CIMB_2015_Annual.pdf,,,,
ZA_Bank_2020_Annual.pdf,4162025,2976969,,
KakaoBank_2016_Annual.pdf,,2652024228,,
KakaoBank_2021_Annual.pdf,,30518698,,
Mintos_2018_Annual.pdf,1,,,
digibank_（DBS_Bank）_2011_Annual.pdf,,,,
Superdigital_2020_Q1、Q2.pdf,,,,
kubo.financiero_2014_Annual.pdf,,,,
CIMB_2022_Annual.pdf,,,,
Fondeadora_2021_Q3.pdf,,,,
Illimity_Bank_2018_Annual.pdf,,,,
Digio_2015_Q3、Q4.pdf,,,,
Airstarbank_2024_Q1、Q2.pdf,2707842,1836897,,
Kabbage_2012_Annual.pdf,,,,
Revolut_2016_Annual.pdf,,,,
Card_by_Coinbase_2024_Annual.pdf,,,,
Klarna_2016_Q1Q2.pdf,9845198,7260028,,
Revolut_2021_Annual.pdf,,,,2021
Klarna_2017_Q1Q2.pdf,12804553,9700935,1865908,
Tenpo_2023_Annual.pdf,,,,
Knab_2021_Annual.pdf,,,,
Fusion_Bank_2018_Annual.pdf,,,,
Klarna_2018_Annual.pdf,,,,
CIMB_2009_Annual.pdf,,,,
RecargaPay_2023_Q1、Q2.pdf,,,,
Inbank_2019_Annual.pdf,318,,,9
Green_Link_Digital_Bank_2022_Annual.pdf,157569685,31549363,,
Klar_2016_Q3.pdf,,,,
Seven_Bank_2012_Annual.pdf,8,8,,7
Tenpo_2021_Q2.pdf,,,,
Fusion_Bank_2023_Q1、Q2.pdf,,,,
Card_by_Coinbase_2024_Q2.pdf,,278588404,,
Klar_2020_Q2.pdf,,,,
