company_name,year,file_name,total_assets,total_liabilities,revenue,net_profit
Airstarbank,2019,Airstarbank_2019_Annual.pdf,1523878862,101915382,15779663,-83221658
Airstarbank,2020,Airstarbank_2020_Q1_Q2.pdf,1836307098,497993666,10617573,-91707674
Airstarbank,2020,Airstarbank_2020_Annual.pdf,2880469,1677433,15572,
Airstarbank,2021,Airstarbank_2021_Annual.pdf,3227586,2266139,40147,-244255
Airstarbank,2021,Airstarbank_2021_Q1_Q2.pdf,3464490,2390450,13715,-123375
Airstarbank,2022,Airstarbank_2022_Q1_Q2.pdf,2857826,1996911,33134,-97755
Airstarbank,2022,Airstarbank_2022_Annual.pdf,,,,
Airstarbank,2023,Airstarbank_2023_Annual.pdf,2325593,1768056,44843,-208263
Airstarbank,2023,Airstarbank_2023_Q1_Q2.pdf,,,,
Airstarbank,2024,Airstarbank_2024_Q1_Q2.pdf,2707842,1836897,20160,-131230
Ant,2018,Ant_Bank_2018_Annual.pdf,,,,
Ant,2019,Ant_Bank_2019_Annual.pdf,,,,
Ant,2020,Ant_Bank_2020_Annual.pdf,,,,
Ant,2020,Ant_Bank_2020_Q1_Q2.pdf,,,,
Ant,2021,Ant_Bank_2021_Q1_Q2.pdf,,,,
Ant,2021,Ant_Bank_2021_Annual.pdf,,,,
Ant,2022,Ant_Bank_2022_Annual.pdf,,,,
Ant,2022,Ant_Bank_2022_Q1_Q2.pdf,,,,
Ant,2023,Ant_Bank_2023_Q1_Q2.pdf,,,,
Ant,2023,Ant_Bank_2023_Annual.pdf,,,,
Ant,2024,Ant_Bank_2024_Q1_Q2.pdf,,,,
Fusion,2018,Fusion_Bank_2018_Annual.pdf,,,,
Fusion,2019,Fusion_Bank_2019_Annual.pdf,,,,
Fusion,2020,Fusion_Bank_2020_Annual.pdf,,,,
Fusion,2021,Fusion_Bank_2021_Q1_Q2.pdf,,2021,,-209
Fusion,2021,Fusion_Bank_2021_Annual.pdf,,3416284,,-2021
Fusion,2022,Fusion_Bank_2022_Annual.pdf,,3,,-2022
Fusion,2022,Fusion_Bank_2022_Q1_Q2.pdf,,3450477,,-2303
Fusion,2023,Fusion_Bank_2023_Q1_Q2.pdf,,2870504,,-185561
Fusion,2023,Fusion_Bank_2023_Annual.pdf,,4676630,,-1798281
Fusion,2024,Fusion_Bank_2024_Q1_Q2.pdf,,6225409,,-127073
Klarna,2015,Klarna_2015_Annual.pdf,,,,
Klarna,2016,Klarna_2016_Q1_Q2.pdf,9845198,7260028,133405,
Klarna,2016,Klarna_2016_Annual.pdf,11,9,2,
Klarna,2017,Klarna_2017_Annual.pdf,,,,
Klarna,2017,Klarna_2017_Q1_Q2.pdf,12504288,1,1865908,
Klarna,2018,Klarna_2018_Annual.pdf,,,,
Klarna,2018,Klarna_2018_Q1_Q2.pdf,,,,
Klarna,2019,Klarna_2019_Q1_Q2.pdf,29279041,25397713,896602,
Klarna,2019,Klarna_2019_Annual.pdf,39867560,,,
Klarna,2020,Klarna_2020_Annual.pdf,62269920,,8421359,
Klarna,2020,Klarna_2020_Q1_Q2.pdf,,,,
Klarna,2021,Klarna_2021_Q1_Q2.pdf,76012787,58031811,6345464,
Klarna,2021,Klarna_2021_Annual.pdf,,,,
Klarna,2022,Klarna_2022_Annual.pdf,,,,
Klarna,2022,Klarna_2022_Q1_Q2.pdf,110099339955008800,,5529118,
Klarna,2023,Klarna_2023_Q1_Q2.pdf,112233112277,110088008844,15929,
Klarna,2023,Klarna_2023_Annual.pdf,,,23504,
Klarna,2024,Klarna_2024_Q1_Q2.pdf,,,,2
Livi,2019,Livi_Bank_2019_Annual.pdf,,,,
Livi,2020,Livi_Bank_2020_Annual.pdf,,,,
Livi,2020,Livi_Bank_2020_Q1_Q2.pdf,2421633,308131,10885,-184999
Livi,2021,Livi_Bank_2021_Annual.pdf,4350796,3157185,,-667114
Livi,2021,Livi_Bank_2021_Q1_Q2.pdf,,,,
Livi,2022,Livi_Bank_2022_Q1_Q2.pdf,,,,
Livi,2022,Livi_Bank_2022_Annual.pdf,,,,
Livi,2023,Livi_Bank_2023_Annual.pdf,4895186,2884270,125435,-560368
Livi,2023,Livi_Bank_2023_Q1_Q2.pdf,3934782,2667890,,-308011
Livi,2024,Livi_Bank_2024_Q1_Q2.pdf,4901750,3018211,104171,-124537
MOXBank,2020,MOXBank_2020_Annual.pdf,,,,
MOXBank,2020,MOXBank_2020_Q1_Q2.pdf,,,,
MOXBank,2021,MOXBank_2021_Annual.pdf,,20,12,-11
MOXBank,2021,MOXBank_2021_Q1_Q2.pdf,,,,
MOXBank,2022,MOXBank_2022_Q1_Q2.pdf,,5737383,6,-73787
MOXBank,2022,MOXBank_2022_Annual.pdf,,20,3519000,-11
MOXBank,2023,MOXBank_2023_Q1_Q2.pdf,,750000,6,-213905
MOXBank,2023,MOXBank_2023_Annual.pdf,,20,4731100,-11
MOXBank,2024,MOXBank_2024_Q1_Q2.pdf,,750000,,248859
PAO,2020,PAO_Bank_2020_Annual.pdf,,608885,,-184201
PAO,2020,PAO_Bank_2020_Q1_Q2.pdf,,111487,,-93934
PAO,2021,PAO_Bank_2021_Q1_Q2.pdf,,641290,,-116926
PAO,2021,PAO_Bank_2021_Annual.pdf,,1786305,,-213741
PAO,2022,PAO_Bank_2022_Annual.pdf,,2344735,96900,-556
PAO,2022,PAO_Bank_2022_Q1_Q2.pdf,,2185468,,-5220
PAO,2023,PAO_Bank_2023_Q1_Q2.pdf,,2316113,,-7703
PAO,2023,PAO_Bank_2023_Annual.pdf,,2636683,,-1110
PAO,2024,PAO_Bank_2024_Q1_Q2.pdf,,4306466,,-505
Revolut,2016,Revolut_2016_Annual.pdf,,,,
Revolut,2017,Revolut_2017_Annual.pdf,,,,
Revolut,2018,Revolut_2018_Annual.pdf,,,,
Revolut,2019,Revolut_2019_Annual.pdf,,,,
Revolut,2020,Revolut_2020_Annual.pdf,,,,
Revolut,2021,Revolut_2021_Annual.pdf,,,,2021
Revolut,2022,Revolut_2022_Annual.pdf,,,,
Revolut,2023,Revolut_2023_Annual.pdf,,,,
ZA,2018,ZA_Bank_2018_Annual.pdf,,,,
ZA,2019,ZA_Bank_2019_Annual.pdf,,,,
ZA,2020,ZA_Bank_2020_Annual.pdf,4162025,2976969,9483,-127510
ZA,2020,ZA_Bank_2020_Q1_Q2.pdf,,,,
ZA,2021,ZA_Bank_2021_Q1_Q2.pdf,,,,
ZA,2021,ZA_Bank_2021_Annual.pdf,9912034,8129471,34724,-278818
ZA,2022,ZA_Bank_2022_Annual.pdf,10715157,8456388,89158,
ZA,2022,ZA_Bank_2022_Q1_Q2.pdf,,,,
ZA,2023,ZA_Bank_2023_Q1_Q2.pdf,,,,
ZA,2023,ZA_Bank_2023_Annual.pdf,13030228,10979394,20987,
ZA,2024,ZA_Bank_2024_Annual.pdf,19952965,18042037,207617,
ZA,2024,ZA_Bank_2024_Q1_Q2.pdf,,,,
weLab,2018,weLab_Bank_2018_Annual.pdf,2,,,-493146
weLab,2019,weLab_Bank_2019_Annual.pdf,,,,
weLab,2020,weLab_Bank_2020_Annual.pdf,,,,
weLab,2020,weLab_Bank_2020_Q1_Q2.pdf,776078,259192,4,
weLab,2021,weLab_Bank_2021_Annual.pdf,,,,
weLab,2021,weLab_Bank_2021_Q1_Q2.pdf,2723303,2188491,788,-226744
weLab,2022,weLab_Bank_2022_Q1_Q2.pdf,2667193,2138869,1495,-224016
weLab,2022,weLab_Bank_2022_Annual.pdf,,,,-458309
weLab,2023,weLab_Bank_2023_Q1_Q2.pdf,3054770,2565157,8130,-161544
weLab,2023,weLab_Bank_2023_Annual.pdf,,,17782,-315632
weLab,2024,weLab_Bank_2024_Q1_Q2.pdf,8689647,7582575,13232,-125074
